"abbreviation","code","state","year","homicide.rates","state.gdp.capita","state.gdp.growth.percent","gini","population.projection","population.extreme.poverty","years.schooling","gini.imp","population.extreme.poverty.imp","years.schooling.imp","proportion.extreme.poverty","population.projection.ln"
"AC",12,"Acre",1990,15.7528767460446,8.5046506371,3.6802715838,0.5443582064,413495,48965,4.8069323392,0.5443582064,48965,4.8069323392,0.118417393197016,12.9324007014743
"AC",12,"Acre",1991,25.1365753929817,8.7232716989,4.9486247237,NA,422341,NA,NA,0.55197280455,54937.5,5.4977572863,0.130078538432215,12.953568323588
"AC",12,"Acre",1992,24.6693492644512,8.5758084005,2.9037203737,0.5595874027,438834,60910,6.1885822334,0.5595874027,60910,6.1885822334,0.138799637220452,12.9918764884289
"AC",12,"Acre",1993,26.0572024164514,8.5919435813,3.30100531,0.5532199072,455233,57492,5.5853917565,0.5532199072,57492,5.5853917565,0.12629137167121,13.0285646547729
"AC",12,"Acre",1994,19.7100384569932,8.4737417079,1.566071674,NA,471677,NA,NA,0.5677723345,48075.5,5.71321720565,0.101924622146087,13.0640497082786
"AC",12,"Acre",1995,22.6247822639007,8.5777487009,4.1316927097,0.5823247618,488112,38659,5.8410426548,0.5823247618,38659,5.8410426548,0.079201084996886,13.098300166699
"AC",12,"Acre",1996,21.0921167179641,8.5137013716,2.0086610407,0.632967802,504575,43173,5.7564170093,0.632967802,43173,5.7564170093,0.0855630976564435,13.1314717697683
"AC",12,"Acre",1997,19.9920831350958,8.2219297645,-0.8269731407,0.5743885751,521095,63519,5.891098796,0.5743885751,63519,5.891098796,0.121895239831509,13.163687645764
"AC",12,"Acre",1998,21.203791782674,8.3880379051,4.5295861197,0.5704532034,537720,64117,6.2416799159,0.5704532034,64117,6.2416799159,0.119238637208956,13.1950932575682
"AC",12,"Acre",1999,9.66044483508011,8.304872692,4.0925988843,0.6213160013,554541,73322,6.2599468256,0.6213160013,73322,6.2599468256,0.132221062103614,13.225896023526
"AC",12,"Acre",2000,19.3712938948007,8.4004032965,4.1088418927,NA,587407,NA,NA,0.62230835185,74322,6.06525126565,0.12652556064194,13.2834732145977
"AC",12,"Acre",2001,21.2408116079199,8.4772487716,3.8004244564,0.6233007024,602009,75322,5.8705557057,0.6233007024,75322,5.8705557057,0.125117730798045,13.3080276743453
"AC",12,"Acre",2002,25.7264309262615,8.6074182777,4.3880009673,0.6206820215,616781,74339,6.1935246378,0.6206820215,74339,6.1935246378,0.120527383301366,13.3322692966063
"AC",12,"Acre",2003,22.4772605048046,8.7019837683,3.8886274526,0.5781737914,631650,93370,5.6453789499,0.5781737914,93370,5.6453789499,0.14781920367292,13.3560907222582
"AC",12,"Acre",2004,18.7233903989753,9.2998229259,7.5803205902,0.5935716389,646548,143491,5.1925445025,0.5935716389,143491,5.1925445025,0.221934025006651,13.3794027203776
"AC",12,"Acre",2005,18.6640427511096,9.396913016,7.3612530992,0.5834207253,661427,146843,5.3703764048,0.5834207253,146843,5.3703764048,0.222009382743674,13.4021549011943
"AC",12,"Acre",2006,22.5733634311541,9.6611772592,5.4090475188,0.5923402321,676252,113474,5.6897300578,0.5923402321,113474,5.6897300578,0.167798394681273,13.4243210666246
"AC",12,"Acre",2007,18.9068970370367,10.7836698517,6.5359887195,0.6093219441,690997,157833,6.2911595806,0.6093219441,157833,6.2911595806,0.228413437395531,13.4458907612064
"AC",12,"Acre",2008,19.5567240575776,11.1098707418,6.9057975595,0.5598217732,705635,91922,6.5116671765,0.5598217732,91922,6.5116671765,0.13026848158042,13.4668533856191
"AC",12,"Acre",2009,21.5576798149038,11.0597301472,1.1675078909,0.6131852912,720132,97612,6.6530706796,0.6131852912,97612,6.6530706796,0.135547371870713,13.4871898075221
"AL",27,"Alagoas",1990,29.2462034772149,6.1245303676,8.0627200891,0.5743947783,2504847,916428,2.853450248,0.5743947783,916428,2.853450248,0.365861867012237,14.7337382127915
"AL",27,"Alagoas",1991,26.8485740423928,6.1700559571,2.5183064929,NA,2554807,NA,NA,0.57879482425,902552,3.29733572095,0.353276000887738,14.7534872406063
"AL",27,"Alagoas",1992,23.3464907109065,6.3226355082,2.9966307145,0.5831948702,2587145,888676,3.7412211939,0.5831948702,888676,3.7412211939,0.343496788931428,14.7660655090756
"AL",27,"Alagoas",1993,23.767534316051,6.0055725931,-3.8898804619,0.6333472488,2619299,1160994,3.8133070846,0.6333472488,1160994,3.8133070846,0.443246074617674,14.7784172826855
"AL",27,"Alagoas",1994,23.2855186376685,6.362685085,7.1737698438,NA,2651541,NA,NA,0.6384748995,971831.5,3.85394417255,0.366515735566601,14.7906515383853
"AL",27,"Alagoas",1995,27.2212705742245,6.181753266,-1.7415160755,0.6436025502,2683766,782669,3.8945812605,0.6436025502,782669,3.8945812605,0.291630864985994,14.8027315899645
"AL",27,"Alagoas",1996,28.1021444594631,6.1250000647,0.1881765424,0.6347739478,2716045,890737,3.9356749226,0.6347739478,890737,3.9356749226,0.32795369737983,14.8146873360065
"AL",27,"Alagoas",1997,24.1077051154567,6.3801014987,5.3113136998,0.6225423995,2748436,780817,4.3061629683,0.6225423995,780817,4.3061629683,0.284095027135433,14.8265425805833
"AL",27,"Alagoas",1998,21.7624860869017,6.447201319,2.16837817,0.6194046453,2781033,847460,4.1686480861,0.6194046453,847460,4.1686480861,0.304728494771547,14.8383329993809
"AL",27,"Alagoas",1999,20.3451675619876,6.2677884172,-1.3341021889,0.5880434356,2814014,972573,4.1615333202,0.5880434356,972573,4.1615333202,0.345617683494112,14.8501224917685
"AL",27,"Alagoas",2000,25.6499189937286,6.3133529976,1.9439823983,NA,2897881,NA,NA,0.5976026157,1013865,4.03577126095,0.349864262887261,14.8794903382177
"AL",27,"Alagoas",2001,29.2659395224322,6.3528049829,1.8336021106,0.6071617958,2937414,1055157,3.9100092017,0.6071617958,1055157,3.9100092017,0.359212899509569,14.8930401604102
"AL",27,"Alagoas",2002,34.2507738458426,6.2872324787,0.1550302125,0.605529575,2975948,1070274,3.982389875,0.605529575,1070274,3.982389875,0.359641364701265,14.9060732016642
"AL",27,"Alagoas",2003,35.6790571132179,6.178023009,-0.5608108662,0.6078257443,3013346,1135933,4.3060615794,0.6078257443,1135933,4.3060615794,0.376967331332014,14.9185616472312
"AL",27,"Alagoas",2004,35.0779942579309,6.3815555297,4.5156935401,0.5746424453,3049431,1042581,4.1831447619,0.5746424453,1042581,4.1831447619,0.341893618842335,14.9304655738026
"AL",27,"Alagoas",2005,40.1538379409538,6.6081828111,4.7671904699,0.565784874,3084050,946177,4.2268911388,0.565784874,946177,4.2268911388,0.306796906664937,14.9417542262447
"AL",27,"Alagoas",2006,53.0051146493744,6.8190719202,4.3799838839,0.6267320818,3117060,790927,4.6769350424,0.6267320818,790927,4.6769350424,0.253741346011947,14.9524008078424
"AL",27,"Alagoas",2007,59.6099969757484,7.1293278871,4.0898716833,0.6054482801,3148387,715101,4.8159409157,0.6054482801,715101,4.8159409157,0.22713249673563,14.9624008161605
"AL",27,"Alagoas",2008,60.334631790882,7.2077456254,4.1065992336,0.5827867882,3177975,725151,4.9735922963,0.5827867882,725151,4.9735922963,0.228180209095415,14.9717547594651
"AL",27,"Alagoas",2009,59.1869525087983,7.2927619283,2.1031359483,0.5719589624,3205791,677867,5.0355105894,0.5719589624,677867,5.0355105894,0.211450777670784,14.9804694197584
"AP",16,"Amapá",1990,16.1766926212669,9.5215635588,1.3680245361,0.4530852138,283271,12044,5.9842969867,0.4530852138,12044,5.9842969867,0.0425175891637337,12.5541593155948
"AP",16,"Amapá",1991,17.9683963551722,9.7164943169,5.3847757722,NA,290747,NA,NA,0.45733149515,31599.5,5.7518597255,0.108683838526279,12.5802087521849
"AP",16,"Amapá",1992,23.8779021463804,9.5533348074,8.5780000395,0.4615777765,311802,51155,5.5194224643,0.4615777765,51155,5.5194224643,0.16406244988807,12.6501236499534
"AP",16,"Amapá",1993,21.0497681287233,9.9624865074,10.1340430151,0.6576678832,332738,55468,5.2440227883,0.6576678832,55468,5.2440227883,0.166701729288509,12.7151106724966
"AP",16,"Amapá",1994,38.4138239387612,9.9455589035,5.0800518008,NA,353731,NA,NA,0.59606437485,51586,5.3688796283,0.145833981189096,12.7762920162498
"AP",16,"Amapá",1995,38.3216937575315,9.9051725699,4.5228028574,0.5344608665,374713,47704,5.4937364683,0.5344608665,47704,5.4937364683,0.127308099799046,12.8339156786021
"AP",16,"Amapá",1996,43.2194255505833,9.9554276523,5.2246803625,0.5190446617,395730,32175,5.4932895035,0.5190446617,32175,5.4932895035,0.0813054355242211,12.8884874395111
"AP",16,"Amapá",1997,34.0875727159757,10.024907922,5.1977134754,0.5696600442,416820,62181,6.1163438116,0.5696600442,62181,6.1163438116,0.149179501943285,12.940409752915
"AP",16,"Amapá",1998,38.7321517254554,9.5898020439,-0.3558388772,0.5788321584,438044,73413,6.0404434293,0.5788321584,73413,6.0404434293,0.167592753239401,12.9900746409342
"AP",16,"Amapá",1999,43.8852797857055,9.2743099109,2.1797072709,0.5426324009,459519,90531,6.2945287826,0.5426324009,90531,6.2945287826,0.197012528317654,13.0379355692157
"AP",16,"Amapá",2000,32.4925791141684,9.3485932333,5.241070066,NA,499329,NA,NA,0.5090877661,66337.5,6.78947417995,0.132853289113991,13.1210204761159
"AP",16,"Amapá",2001,36.8933401505843,9.5227544581,6.1874199668,0.4755431313,519202,42144,7.2844195773,0.4755431313,42144,7.2844195773,0.0811707196813572,13.1600482964447
"AP",16,"Amapá",2002,35.0426125913223,9.7818668399,6.9485810599,0.5491893913,538836,84508,6.6763737576,0.5491893913,84508,6.6763737576,0.156834361475477,13.1971665364311
"AP",16,"Amapá",2003,35.5259049289322,10.1518849875,7.9254170664,0.5938475877,558398,113726,6.6559141334,0.5938475877,113726,6.6559141334,0.203664769572957,13.232827248762
"AP",16,"Amapá",2004,31.2782498644321,11.0557181174,7.972890635,0.5423378851,577786,109970,6.7060754856,0.5423378851,109970,6.7060754856,0.190329983765616,13.2669588368834
"AP",16,"Amapá",2005,32.9646118164566,10.8177964784,6.2826724028,0.5271887986,596914,68020,7.2864646677,0.5271887986,68020,7.2864646677,0.113952763714706,13.2995283283967
"AP",16,"Amapá",2006,32.9693174214633,11.0516872773,5.7923112495,0.4752295426,615692,61807,7.4444788225,0.4752295426,61807,7.4444788225,0.100386232077078,13.330502117474
"AP",16,"Amapá",2007,26.8592574907689,12.179289553,5.1191327384,0.5091625902,634068,77317,7.4896951733,0.5091625902,77317,7.4896951733,0.121938025574544,13.3599114831884
"AP",16,"Amapá",2008,34.411674527535,12.0084288538,2.937260003,0.455739821,651977,39316,7.8329087864,0.455739821,39316,7.8329087864,0.0603027407408544,13.387764564213
"AP",16,"Amapá",2009,30.4816256441332,12.2159969394,3.9591982547,0.5191645316,669360,55950,7.7018857128,0.5191645316,55950,7.7018857128,0.0835873072785945,13.4140773109695
"AM",13,"Amazonas",1990,18.0160013509364,7.61623794,0.0161219287,0.5600973528,2073666,117249,5.7987875748,0.5600973528,117249,5.7987875748,0.0565418924744872,14.5448286133373
"AM",13,"Amazonas",1991,19.0657950602901,7.4714279528,0.7075012638,NA,2127602,NA,NA,0.55450696525,276419.5,6.0153554593,0.129920680653618,14.5705060818762
"AM",13,"Amazonas",1992,16.1942192669526,6.8910919713,-3.8123801177,0.5489165777,2205034,435590,6.2319233438,0.5489165777,435590,6.2319233438,0.197543439239486,14.6062534862453
"AM",13,"Amazonas",1993,15.5574645391385,7.6225792821,14.0853396741,0.5549744,2282029,391417,5.6761013191,0.5549744,391417,5.6761013191,0.17152148373224,14.6405755174742
"AM",13,"Amazonas",1994,16.8313895721886,9.1526483236,23.6883548608,NA,2359234,NA,NA,0.56561495065,349219.5,5.8567141667,0.148022408968335,14.6738475480443
"AM",13,"Amazonas",1995,18.2740582934054,10.9038598352,22.5827701837,0.5762555013,2436396,307022,6.0373270143,0.5762555013,307022,6.0373270143,0.126014818609126,14.7060304561766
"AM",13,"Amazonas",1996,18.7504263838652,11.920735704,12.3879149545,0.5457302075,2513691,245157,5.9338397955,0.5457302075,245157,5.9338397955,0.0975286938609399,14.7372627488836
"AM",13,"Amazonas",1997,18.938424111763,12.5840328433,8.4310499734,0.58941124,2591252,329510,6.1194706368,0.58941124,329510,6.1194706368,0.127162468181404,14.7676517145601
"AM",13,"Amazonas",1998,21.2639852358276,12.3624364686,0.6126874881,0.5798885659,2669305,470027,6.0569019112,0.5798885659,470027,6.0569019112,0.176085910002791,14.7973286968671
"AM",13,"Amazonas",1999,20.4197162240622,11.9482965341,-0.2494311992,0.544297361,2748281,435991,6.2028720571,0.544297361,435991,6.2028720571,0.158641347082049,14.8264861832829
"AM",13,"Amazonas",2000,19.8751527524835,12.5355707993,7.8304429164,NA,2872524,NA,NA,0.55988532825,461963,6.42906915795,0.160821284695968,14.8707016437615
"AM",13,"Amazonas",2001,16.4815196650743,12.5423008019,2.7756058036,0.5754732955,2946727,487935,6.6552662588,0.5754732955,487935,6.6552662588,0.165585410524966,14.8962056208492
"AM",13,"Amazonas",2002,17.2867617168439,12.9410669011,5.9410000544,0.5632862319,3021363,497348,6.8445074126,0.5632862319,497348,6.8445074126,0.164610475470839,14.9212186120381
"AM",13,"Amazonas",2003,18.5082605896852,13.1885327345,4.5949800932,0.5563141057,3096127,501230,7.0715023679,0.5563141057,501230,7.0715023679,0.161889354021976,14.9456625335223
"AM",13,"Amazonas",2004,16.870227628701,14.2952073549,10.3253009936,0.5363294433,3170740,626490,6.674855596,0.5363294433,626490,6.674855596,0.197584790932085,14.9694755570967
"AM",13,"Amazonas",2005,18.5006492242985,15.3264020919,10.4109239025,0.5122660596,3244995,392286,6.8940114742,0.5122660596,392286,6.8940114742,0.12088955452936,14.9926243672871
"AM",13,"Amazonas",2006,21.0507495214482,15.3475107365,2.5757329159,0.5138941672,3318679,443100,7.205733609,0.5138941672,443100,7.205733609,0.133516980702261,15.0150773701466
"AM",13,"Amazonas",2007,20.9791385924585,16.4806154295,4.4937552635,0.5504178712,3391594,578137,6.9619396823,0.5504178712,578137,6.9619396823,0.170461735691241,15.0368105753339
"AM",13,"Amazonas",2008,24.7523567117036,16.6037708246,4.4732157523,0.5129211791,3463562,436325,7.1421838843,0.5129211791,436325,7.1421838843,0.12597580179018,15.0578080972518
"AM",13,"Amazonas",2009,26.9939178224038,16.019450134,-2.0097402827,0.5090497043,3534456,333527,7.2191815827,0.5090497043,333527,7.2191815827,0.094364450993307,15.0780699557959
"BA",29,"Bahia",1990,7.34260347051734,5.8660892283,6.4156100862,0.6469645937,11833426,4480819,3.3895908471,0.6469645937,4480819,3.3895908471,0.378657795299518,16.2864387967328
"BA",29,"Bahia",1991,4.89552107006794,5.9453154161,3.0687748,NA,12065837,NA,NA,0.6205084894,4393732,3.31767827745,0.364146474049003,16.3058886288579
"BA",29,"Bahia",1992,6.88066795022891,6.1199571037,3.0687748,0.5940523851,12188959,4306645,3.2457657078,0.5940523851,4306645,3.2457657078,0.35332344624344,16.3160410999437
"BA",29,"Bahia",1993,12.2006742134983,6.7071595846,10.68046044,0.6424388758,12311385,4653413,3.567434994,0.6424388758,4653413,3.567434994,0.377976401517782,16.3260350019862
"BA",29,"Bahia",1994,13.9355256099982,7.0983759938,6.860340644,NA,12434146,NA,NA,0.6244045227,4228787,3.5971990153,0.340094687644813,16.3359569557402
"BA",29,"Bahia",1995,12.051351091684,7.5137840396,6.860340644,0.6063701696,12556838,3804161,3.6269630366,0.6063701696,3804161,3.6269630366,0.302955329996294,16.3457759357172
"BA",29,"Bahia",1996,14.8783954296389,7.5672092573,1.6567860463,0.6348562122,12679740,4145618,3.8476315088,0.6348562122,4145618,3.8476315088,0.326948186634742,16.3555160020313
"BA",29,"Bahia",1997,15.4999566079932,7.9824002239,6.4649171017,0.6120617959,12803067,3895008,3.7764279208,0.6120617959,3895008,3.7764279208,0.304224604932552,16.3651953095631
"BA",29,"Bahia",1998,9.70332492559811,7.9501759825,0.4597258003,0.5956276967,12927177,3566113,3.9394463431,0.5956276967,3566113,3.9394463431,0.275861698188243,16.3748423974443
"BA",29,"Bahia",1999,6.81904591849666,7.9034016919,0.6174501315,0.5853363795,13052753,3556144,4.0196711092,0.5853363795,3556144,4.0196711092,0.272443981740863,16.3845096273389
"BA",29,"Bahia",2000,9.35712782847337,8.1411042614,4.0501511865,NA,13519548,NA,NA,0.5897040833,3772311.5,4.19088531895,0.279026451180173,16.4196471960676
"BA",29,"Bahia",2001,11.9039096434969,8.0946637877,0.4320075493,0.5940717871,13664222,3988479,4.3620995287,0.5940717871,3988479,4.3620995287,0.291892139925713,16.4302914419511
"BA",29,"Bahia",2002,13.0224458930543,8.1348908561,1.510732213,0.5925395778,13805391,3916559,4.5609557703,0.5925395778,3916559,4.5609557703,0.283697796027653,16.4405697260167
"BA",29,"Bahia",2003,16.033577212344,8.227135227,2.1538491618,0.5914295449,13942631,4160184,4.6992141606,0.5914295449,4160184,4.6992141606,0.298378691941284,16.4504616829342
"BA",29,"Bahia",2004,16.6388135633075,8.9283691796,9.6270480496,0.5558949617,14075570,3378609,4.8846979821,0.5558949617,3378609,4.8846979821,0.240033547486887,16.4599512285057
"BA",29,"Bahia",2005,20.4339259630274,9.2705719063,4.8440626064,0.5540109504,14203837,3015281,5.0826128083,0.5540109504,3015281,5.0826128083,0.212286370225172,16.4690226973386
"BA",29,"Bahia",2006,23.4836605406772,9.4249209694,2.656996665,0.5569745484,14327129,2547395,5.3079605994,0.5569745484,2547395,5.3079605994,0.177802196099442,16.4776654308135
"BA",29,"Bahia",2007,25.6181387783134,9.8299637279,5.2734281223,0.5535843135,14445266,2406856,5.3954923601,0.5535843135,2406856,5.3954923601,0.166619015530763,16.4858773063893
"BA",29,"Bahia",2008,32.7528042433813,10.0379092653,5.1751131576,0.5590359353,14558148,2179443,5.6981739873,0.5590359353,2179443,5.6981739873,0.149706061512769,16.4936613948403
"BA",29,"Bahia",2009,36.5157984628458,9.8892315521,-0.5654756748,0.5561032797,14665810,2037599,5.8422629425,0.5561032797,2037599,5.8422629425,0.138935319631169,16.5010294924176
"CE",23,"Ceará",1990,8.84892002444848,5.0900604617,11.6080154429,0.6268535863,6368785,2828804,2.9650599077,0.6268535863,2828804,2.9650599077,0.444166980044074,15.666919271522
"CE",23,"Ceará",1991,9.6597157027733,5.3126551561,5.8481855689,NA,6463534,NA,NA,0.61613521765,2770156,3.1857523116,0.4285822585601,15.6816867850002
"CE",23,"Ceará",1992,8.43807115000662,5.513377769,5.8481855689,0.605416849,6577637,2711508,3.4064447155,0.605416849,2711508,3.4064447155,0.412231322585907,15.699186120262
"CE",23,"Ceará",1993,10.7330898871244,5.7601409702,6.1433425054,0.6275107911,6691095,2525528,3.442767867,0.6275107911,2525528,3.442767867,0.37744614297062,15.7162880958408
"CE",23,"Ceará",1994,9.49759673113871,6.3225332816,11.4705459953,NA,6804863,NA,NA,0.62234352275,2339175.5,3.53600674385,0.3437505648534,15.7331480616094
"CE",23,"Ceará",1995,12.5850871036911,6.9424553558,11.4705459953,0.6171762544,6918567,2152823,3.6292456207,0.6171762544,2152823,3.6292456207,0.311166026143853,15.7497192252248
"CE",23,"Ceará",1996,12.9382064796808,7.0754424101,3.4313306877,0.6287976651,7032467,2314388,3.7452453304,0.6287976651,2314388,3.7452453304,0.329100442277226,15.766048126836
"CE",23,"Ceará",1997,14.7536807254397,7.1261578509,2.1879709539,0.6236414362,7146759,2334194,3.826987462,0.6236414362,2334194,3.826987462,0.326608746706024,15.7821695251914
"CE",23,"Ceará",1998,13.417207276022,6.9706269201,-0.7496476826,0.6179859989,7261778,2134921,3.9858021121,0.6179859989,2134921,3.9858021121,0.293994253198046,15.7981352603983
"CE",23,"Ceará",1999,15.5911143031432,6.8808593641,0.6512489178,0.6129580576,7378155,2278784,3.9970049449,0.6129580576,2278784,3.9970049449,0.308855533666615,15.8140341653214
"CE",23,"Ceará",2000,16.5395783766668,7.0811125819,4.5416879597,NA,7601788,NA,NA,0.6127373445,2265773,4.2003864776,0.298057904271995,15.8438940407444
"CE",23,"Ceará",2001,17.1973283460167,6.8740162257,-1.4003129818,0.6125166314,7718435,2252762,4.4037680103,0.6125166314,2252762,4.4037680103,0.291867716706819,15.8591221812432
"CE",23,"Ceará",2002,18.851557376402,7.0147256098,3.6413453902,0.5909418214,7830721,2019136,4.6485795421,0.5909418214,2019136,4.6485795421,0.257848032128842,15.8735651454646
"CE",23,"Ceará",2003,20.107142714453,7.0091423501,1.4726216334,0.5694416441,7938714,2201543,4.7405393057,0.5694416441,2201543,4.7405393057,0.277317333764637,15.8872618553701
"CE",23,"Ceará",2004,19.5622855923241,7.2591488251,5.1504274981,0.5767822638,8042368,2069790,4.9624267778,0.5767822638,2069790,4.9624267778,0.257360767375977,15.9002341251537
"CE",23,"Ceará",2005,20.8958799795996,7.3520032986,2.811841014,0.578923259,8141584,1950738,5.0695403423,0.578923259,1950738,5.0695403423,0.2396017777376,15.9124953136422
"CE",23,"Ceará",2006,21.8202440265161,7.8259597756,8.021637112,0.5482415606,8236289,1625764,5.3533838009,0.5482415606,1625764,5.3533838009,0.197390353835326,15.9240604363636
"CE",23,"Ceará",2007,23.2249888403809,8.1185564524,3.3368865679,0.5492169127,8326445,1546241,5.5484714731,0.5492169127,1546241,5.5484714731,0.185702421621713,15.9349471523422
"CE",23,"Ceará",2008,24.0340040331237,8.531601644,8.4934644498,0.5398506858,8412055,1138074,5.7134677836,0.5398506858,1138074,5.7134677836,0.135290841536343,15.945176354062
"CE",23,"Ceará",2009,25.3400017548302,8.4377466295,0.0384501871,0.5448917392,8493155,1233824,5.8895425069,0.5448917392,1233824,5.8895425069,0.145272751998521,15.9547711029194
"DF",53,"Distrito Federal",1990,31.1016459504,46.1145198188,3.3247776336,0.5892859524,1587015,85091,7.4901226722,0.5892859524,85091,7.4901226722,0.053617010551255,14.2773654512597
"DF",53,"Distrito Federal",1991,33.2897381415,45.743612208,1.3825516441,NA,1621458,NA,NA,0.59584408805,119453,7.45443277685,0.0736701166481031,14.2988363024514
"DF",53,"Distrito Federal",1992,28.3342219514,44.7633556276,1.2778017526,0.6024022237,1670943,153815,7.4187428815,0.6024022237,153815,7.4187428815,0.0920528108977984,14.3288986956851
"DF",53,"Distrito Federal",1993,36.0995295108,45.6183027996,4.5613999429,0.6194385147,1720149,164796,7.5883694776,0.6194385147,164796,7.5883694776,0.0958033286651331,14.3579214729446
"DF",53,"Distrito Federal",1994,35.7584813549,45.7808384624,2.8753346238,NA,1769489,NA,NA,0.6000737937,123113.5,7.64592309005,0.0695757362718841,14.386201362303
"DF",53,"Distrito Federal",1995,39.5324468168,46.2715859389,3.5233980382,0.5807090727,1818802,81431,7.7034767025,0.5807090727,81431,7.7034767025,0.044771778346406,14.4136886005585
"DF",53,"Distrito Federal",1996,38.310685388,46.5509286184,2.974954536,0.5928434725,1868199,120079,7.798846604,0.5928434725,120079,7.798846604,0.0642752726021157,14.4404854231461
"DF",53,"Distrito Federal",1997,35.5884209769,47.2331793556,3.7944909491,0.5919731806,1917766,105671,8.0372136636,0.5919731806,105671,8.0372136636,0.0551010915826018,14.4666715248972
"DF",53,"Distrito Federal",1998,37.4336332877,47.1868020461,2.3042977449,0.6222790717,1967649,131356,8.1338614416,0.6222790717,131356,8.1338614416,0.0667578414646108,14.4923499870289
"DF",53,"Distrito Federal",1999,36.7029855315,47.1897013949,3.0590585856,0.6276297031,2018121,155497,8.1444184528,0.6276297031,155497,8.1444184528,0.0770503849868269,14.5176774384549
"DF",53,"Distrito Federal",2000,37.5399898398,47.5907176968,3.3080756867,NA,2108798,NA,NA,0.6259603429,161237,8.1890075695,0.0764591961866428,14.5616286748832
"DF",53,"Distrito Federal",2001,36.8542754297,47.99712472,3.2688259046,0.6242909827,2148606,166977,8.2335966862,0.6242909827,166977,8.2335966862,0.0777141085894762,14.5803298177267
"DF",53,"Distrito Federal",2002,34.6717692575,48.8100390334,4.0969578143,0.6287337614,2190118,177776,8.5433666715,0.6287337614,177776,8.5433666715,0.0811718820629756,14.5994659816197
"DF",53,"Distrito Federal",2003,39.0904706931,48.4338137455,1.5425899466,0.6337636742,2233473,236800,8.7078130078,0.6337636742,236800,8.7078130078,0.106023220338907,14.6190683310511
"DF",53,"Distrito Federal",2004,36.4879518126,49.6949921719,4.9404282365,0.6290878944,2278824,198015,8.7533325004,0.6290878944,198015,8.7533325004,0.086893502964687,14.6391700783918
"DF",53,"Distrito Federal",2005,31.9316414278,51.1215074412,5.1721864202,0.6081313711,2326355,135009,8.9609213899,0.6081313711,135009,8.9609213899,0.0580345648020186,14.6598132229431
